customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
1,Male,1,Yes,No,24,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,No internet service,One year,No,Credit card (automatic),46.78,7329.19
2,Female,1,Yes,No,56,Yes,No,DSL,Yes,No,No,No internet service,Yes,No internet service,Two year,Yes,Electronic check,114.29,5518.62
3,Female,1,Yes,Yes,13,No,No,No,No internet service,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,112.27,8119.08
4,Female,1,Yes,No,53,No,No,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,97.32,806.58
5,Female,0,Yes,No,5,No,No phone service,DSL,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Electronic check,57.25,4139.13
6,Male,0,No,Yes,51,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,35.06,3167.97
7,Male,1,Yes,Yes,25,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,One year,No,Credit card (automatic),30.74,1292.89
8,Male,0,Yes,No,71,Yes,No phone service,No,No,No,No,No internet service,No internet service,Yes,Two year,No,Mailed check,77.11,2442.23
9,Female,0,Yes,No,68,No,Yes,No,No,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,97.6,4435.35
10,Male,0,Yes,No,71,No,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,95.91,8590.13
11,Female,0,No,No,28,No,Yes,DSL,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),46.28,3401.19
12,Male,0,No,No,48,No,Yes,DSL,No,No internet service,No,No,No,Yes,One year,Yes,Electronic check,103.19,6017.94
13,Female,0,Yes,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),79.34,4564.33
14,Female,0,Yes,Yes,0,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.01,3444.56
15,Female,1,Yes,No,8,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No,No,Two year,Yes,Electronic check,51.79,4049.52
16,Female,0,Yes,Yes,51,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),24.1,8603.63
17,Male,0,Yes,No,31,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,No,One year,Yes,Electronic check,78.31,4348.31
18,Female,1,No,No,66,No,No,Fiber optic,No internet service,No internet service,No,Yes,No,No,Two year,No,Credit card (automatic),103.97,73.02
19,Female,0,No,No,33,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),30.67,3495.43
20,Male,1,Yes,Yes,68,No,Yes,Fiber optic,Yes,No internet service,No,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),68.22,5410.49
21,Female,1,No,Yes,54,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,73.31,5192.97
22,Male,0,Yes,No,40,Yes,No phone service,DSL,No,No,Yes,No,No,No internet service,Two year,No,Electronic check,95.06,4609.49
23,Male,0,No,Yes,28,Yes,No phone service,No,Yes,No,Yes,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),111.11,4049.28
24,Female,1,Yes,Yes,19,Yes,No,DSL,Yes,No,No internet service,Yes,No,Yes,One year,Yes,Credit card (automatic),114.59,609.86
25,Male,1,Yes,No,19,No,No phone service,No,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,73.1,6271.28
26,Male,0,Yes,No,12,No,No,No,Yes,No,Yes,No internet service,No,No internet service,One year,Yes,Credit card (automatic),54.93,405.81
27,Male,1,Yes,Yes,30,No,No phone service,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),46.35,3259.32
28,Male,0,Yes,No,30,Yes,Yes,DSL,Yes,No internet service,Yes,No,No,No internet service,Two year,No,Credit card (automatic),56.1,1502.44
29,Female,0,No,Yes,15,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),44.48,8052.95
30,Female,0,Yes,Yes,67,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Electronic check,27.78,6100.82
31,Male,1,Yes,Yes,23,No,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,34.1,6840.02
32,Female,1,No,No,48,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),57.99,372.43
33,Female,1,Yes,Yes,67,No,Yes,DSL,No internet service,Yes,Yes,Yes,No,No internet service,One year,No,Bank transfer (automatic),69.44,3083.74
34,Female,1,No,No,66,Yes,No,DSL,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),62.68,320.22
35,Male,0,Yes,No,42,No,No,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,69.76,2007.82
36,Female,1,Yes,Yes,13,Yes,No,DSL,Yes,No,No internet service,No,No,No,One year,Yes,Bank transfer (automatic),47.29,2945.1
37,Male,0,No,No,46,No,No phone service,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,One year,No,Mailed check,114.59,809.32
38,Female,1,No,Yes,3,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,101.44,5979.48
39,Male,1,No,No,19,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,101.3,3315.71
40,Female,1,No,Yes,65,No,Yes,Fiber optic,No,No internet service,Yes,No,No,No internet service,Two year,No,Bank transfer (automatic),114.26,853.66
41,Male,0,Yes,Yes,49,Yes,Yes,No,No,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.31,3165.99
42,Female,0,No,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,Two year,No,Credit card (automatic),34.95,7216.67
43,Male,1,No,Yes,18,No,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,One year,Yes,Bank transfer (automatic),90.97,4147.98
44,Female,1,No,No,47,Yes,No,No,Yes,Yes,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,44.22,1418.02
45,Female,1,Yes,No,8,No,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,68.43,5522.15
46,Male,1,No,Yes,1,No,No,No,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),71.67,6522.08
47,Female,0,No,Yes,12,Yes,No,No,No internet service,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),29.68,4173.37
48,Male,0,Yes,Yes,57,No,Yes,No,No internet service,Yes,Yes,No,No internet service,Yes,Two year,Yes,Credit card (automatic),64.71,7864.18
49,Female,1,No,Yes,60,Yes,No phone service,DSL,No internet service,Yes,No,No,Yes,No,One year,Yes,Mailed check,32.07,6696.83
50,Male,1,Yes,Yes,17,No,No,No,No internet service,No internet service,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,102.38,2212.04
51,Male,0,Yes,Yes,32,No,No,No,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Mailed check,35.7,5886.94
52,Female,1,No,No,32,No,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,27.39,786.53
53,Female,0,No,Yes,5,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,84.32,3506.73
54,Female,0,No,Yes,66,No,No,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No,One year,Yes,Mailed check,113.66,3804.96
55,Male,1,Yes,No,22,Yes,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),113.22,3341.72
56,Female,1,Yes,No,25,Yes,Yes,DSL,No,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.04,1855.64
57,Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Credit card (automatic),39.5,6308.51
58,Female,0,No,No,6,No,No,Fiber optic,No,No,No internet service,No,Yes,No,One year,Yes,Bank transfer (automatic),37.88,5609.49
59,Female,1,No,No,4,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Two year,Yes,Electronic check,104.64,8515.19
60,Male,1,Yes,No,42,Yes,Yes,DSL,No internet service,Yes,Yes,No,No,No,One year,No,Electronic check,42.57,2603.62
61,Female,0,No,Yes,34,Yes,Yes,No,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),91.36,4770.86
62,Female,0,Yes,Yes,1,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),53.17,5779.12
63,Female,0,Yes,No,66,No,Yes,DSL,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,68.39,8551.37
64,Female,1,Yes,Yes,44,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No,Two year,No,Electronic check,55.95,3481.11
65,Male,1,Yes,No,34,No,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,38.25,3305.94
